pole_id,lat,lon,state,status,inspection_date,source,pole_type,voltage,operator,material,height,geometry,distance_m,matched,nearest_detection_id,nearest_detection_conf
OSM-11424346904,40.2227606,-76.8294724,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8294724 40.2227606),1592.542080630841,False,AI_DET_pa_m_4007650_nw_18_060_20220704_29,0.0944500863552093
OSM-11424346905,40.223214,-76.8302959,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8302959 40.223214),1646.9931773604121,False,AI_DET_pa_m_4007650_nw_18_060_20220704_29,0.0944500863552093
OSM-11424346906,40.2236757,-76.8311343,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8311343 40.2236757),1705.1281677194313,False,AI_DET_pa_m_4007650_nw_18_060_20220704_29,0.0944500863552093
OSM-11424346907,40.2241314,-76.831962,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.831962 40.2241314),1728.9540666500288,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346908,40.2245861,-76.8327879,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8327879 40.2245861),1674.414837390799,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346909,40.2255001,-76.8344426,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8344426 40.2255001),1573.9245657698264,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346910,40.2259519,-76.8352644,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8352644 40.2259519),1528.7983580417185,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346911,40.2264286,-76.8360903,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8360903 40.2264286),1488.2336846103597,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346912,40.2268827,-76.8369198,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8369198 40.2268827),1450.3500101510945,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346913,40.2277991,-76.8385745,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8385745 40.2277991),1388.651045888462,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346914,40.2273396,-76.837748,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.837748 40.2273396),1417.0357573155509,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346915,40.2282598,-76.8394066,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8394066 40.2282598),1364.9382263008736,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346916,40.2287143,-76.8402324,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8402324 40.2287143),1346.3975955392386,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346917,40.2291659,-76.8410503,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8410503 40.2291659),1333.443659309661,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346918,40.2296335,-76.8418874,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8418874 40.2296335),1326.2816708928242,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346919,40.2300902,-76.8427125,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8427125 40.2300902),1324.5555792042337,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346920,40.2305491,-76.8435497,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8435497 40.2305491),1328.1598315238416,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346921,40.231001,-76.844374,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.844374 40.231001),1337.323567814243,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346922,40.2314623,-76.8452029,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8452029 40.2314623),1352.733069650982,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346923,40.231919,-76.8460294,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8460294 40.231919),1373.1061161120947,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346924,40.2323807,-76.8468556,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8468556 40.2323807),1399.1062501060685,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346925,40.2328409,-76.8476824,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8476824 40.2328409),1429.763232192738,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346926,40.2333126,-76.8485,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8485 40.2333126),1466.3463668323307,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346927,40.233793,-76.8492898,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8492898 40.233793),1508.3520624941905,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346928,40.2346858,-76.8507243,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8507243 40.2346858),1595.9026939851226,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346929,40.2350866,-76.8513392,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8513392 40.2350866),1638.6364694226681,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
OSM-11424346930,40.2355483,-76.8520238,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8520238 40.2355483),1689.9481993938775,False,AI_DET_pa_m_4007650_nw_18_060_20220704_32,0.1042947769165039
